facility_id,day,beds_occupied,beds_available,total_staff,patient_load,occupancy_ratio,staff_to_patient_ratio,overload_flag,occupancy_7d_avg,occupancy_14d_avg
HF_L4_004,2023-01-01,9799.0,4633,2255,49964.0,2.1150442477876106,0.0451315921144801,1,2.1150442477876106,2.1150442477876106
HF_L4_004,2023-01-02,7952.0,1624,1400,35160.0,4.896551724137931,0.0398168425243878,1,3.5057979859627704,3.5057979859627704
HF_L4_004,2023-01-03,6300.0,3630,2040,30528.0,1.7355371900826446,0.0668217105047659,1,2.915711054002729,2.915711054002729
HF_L4_004,2023-01-04,7344.0,4248,1656,40964.0,1.728813559322034,0.0404247528377883,1,2.6189866803325548,2.6189866803325548
HF_L4_004,2023-01-05,7585.0,3441,3330,44536.0,2.204301075268817,0.0747692929474369,1,2.536049559319808,2.536049559319808
HF_L4_004,2023-01-06,4991.0,3441,1984,37916.0,1.4504504504504503,0.0523248147269035,1,2.355116374508248,2.355116374508248
HF_L4_004,2023-01-07,6536.0,3800,2128,42248.0,1.72,0.0503680560486638,1,2.264385463864212,2.264385463864212
HF_L4_004,2023-01-08,4350.0,3422,1363,34368.0,1.271186440677966,0.0396578311850795,1,2.1438343485628346,2.1402355859659314
HF_L4_004,2023-01-09,6318.0,2484,1701,32664.0,2.5434782608695654,0.052074085412521,1,1.807680996667354,2.185040327621891
HF_L4_004,2023-01-10,5921.0,3503,2294,37512.0,1.6902654867256637,0.0611521339269053,1,1.8012136104734997,2.135562843532268
HF_L4_004,2023-01-11,5880.0,3010,2100,39604.0,1.9534883720930232,0.0530236081302865,1,1.833310012297927,2.1190106188559734
HF_L4_004,2023-01-12,4340.0,1940,1280,21444.0,2.237113402061856,0.0596875728608067,1,1.8379974875540748,2.128852517456463
HF_L4_004,2023-01-13,8399.0,2960,1813,45096.0,2.8375,0.0402022307470563,1,2.0361474232040107,2.1833638622675045
HF_L4_004,2023-01-14,7953.0,2937,2706,40768.0,2.707865168539326,0.0663739606073241,1,2.1772710187096287,2.2208282412869207
HF_L4_004,2023-01-15,3834.0,3078,1431,27056.0,1.2456140350877194,0.0528883468233728,1,2.1736178179110217,2.158726083236928
