facility_id,day,total_staff,nurses_on_duty,doctors_on_duty,beds_occupied,beds_available,patient_visits,avg_congestion,weighted_demand,staff_to_patient_ratio,beds_occupancy_ratio,understaffed_flag
HF_L4_004,2023-01-01,55,37,17,239,113,41.0,304.6585365853659,57.0,1.3095238095238095,2.1150442477876106,1
HF_L4_004,2023-01-02,50,32,20,284,58,28.0,313.92857142857144,46.0,1.7241379310344829,4.896551724137931,1
HF_L4_004,2023-01-03,68,25,22,210,121,30.0,254.4,46.0,2.193548387096774,1.7355371900826446,1
HF_L4_004,2023-01-04,46,54,23,204,118,36.0,284.47222222222223,64.0,1.2432432432432432,1.728813559322034,1
HF_L4_004,2023-01-05,90,44,29,205,93,37.0,300.9189189189189,46.0,2.3684210526315788,2.204301075268817,1
HF_L4_004,2023-01-06,64,39,27,161,111,31.0,305.7741935483871,49.0,2.0,1.4504504504504503,1
HF_L4_004,2023-01-07,56,45,19,172,100,38.0,277.94736842105266,68.0,1.435897435897436,1.72,1
HF_L4_004,2023-01-08,47,30,26,150,118,29.0,296.2758620689655,45.0,1.5666666666666669,1.271186440677966,1
HF_L4_004,2023-01-09,63,48,21,234,92,27.0,302.44444444444446,28.0,2.25,2.5434782608695654,1
HF_L4_004,2023-01-10,74,36,26,191,113,31.0,302.51612903225805,46.0,2.3125,1.6902654867256637,1
HF_L4_004,2023-01-11,60,38,23,168,86,35.0,282.8857142857143,45.0,1.6666666666666667,1.9534883720930232,1
HF_L4_004,2023-01-12,64,33,19,217,97,20.0,268.05,34.0,3.0476190476190474,2.237113402061856,1
HF_L4_004,2023-01-13,49,40,23,227,80,37.0,304.7027027027027,63.0,1.2894736842105263,2.8375,1
HF_L4_004,2023-01-14,82,27,24,241,89,33.0,308.8484848484849,56.0,2.411764705882353,2.707865168539326,1
HF_L4_004,2023-01-15,53,43,31,142,114,27.0,250.5185185185185,46.0,1.8928571428571428,1.2456140350877194,1
HF_L4_004,2023-01-16,80,39,22,167,75,45.0,306.35555555555555,65.0,1.7391304347826086,2.2266666666666666,1
HF_L4_004,2023-01-17,54,52,17,190,114,29.0,310.58620689655174,46.0,1.8,1.6666666666666667,1
HF_L4_004,2023-01-18,63,36,18,196,78,25.0,275.72,46.0,2.423076923076923,2.5128205128205128,1
HF_L4_004,2023-01-19,68,57,25,158,56,37.0,301.81081081081084,60.0,1.7894736842105263,2.821428571428572,1
HF_L4_004,2023-01-20,77,36,20,143,80,33.0,299.4848484848485,54.0,2.264705882352941,1.7875,1
HF_L4_004,2023-01-21,72,34,26,239,82,36.0,266.19444444444446,58.0,1.945945945945946,2.914634146341464,1
HF_L4_004,2023-01-22,84,51,23,136,97,39.0,280.9230769230769,62.0,2.1,1.402061855670103,1
HF_L4_004,2023-01-23,52,48,24,217,121,41.0,288.1219512195122,64.0,1.238095238095238,1.793388429752066,1
HF_L4_004,2023-01-24,67,37,28,284,83,30.0,329.2333333333333,43.0,2.161290322580645,3.421686746987952,1
HF_L4_004,2023-01-25,57,40,23,143,94,38.0,329.92105263157896,62.0,1.4615384615384617,1.5212765957446808,1
HF_L4_004,2023-01-26,58,41,24,236,127,26.0,277.0,43.0,2.1481481481481484,1.858267716535433,1
HF_L4_004,2023-01-27,69,43,30,241,97,32.0,262.375,39.0,2.090909090909091,2.484536082474227,1
HF_L4_004,2023-01-28,57,38,25,274,98,32.0,292.84375,57.0,1.7272727272727273,2.795918367346939,1
HF_L4_004,2023-01-29,48,35,21,210,97,22.0,341.90909090909093,35.0,2.0869565217391304,2.164948453608248,1
HF_L4_004,2023-01-30,66,42,13,216,76,22.0,281.5,33.0,2.869565217391304,2.8421052631578947,1
HF_L4_004,2023-01-31,73,49,28,234,99,23.0,350.8695652173913,40.0,3.0416666666666665,2.363636363636364,1
HF_L4_004,2023-02-01,53,45,26,266,82,30.0,243.6,54.0,1.7096774193548387,3.2439024390243905,1
HF_L4_004,2023-02-02,64,50,17,262,69,44.0,273.3181818181818,60.0,1.4222222222222225,3.7971014492753614,1
HF_L4_004,2023-02-03,56,48,32,192,91,34.0,265.29411764705884,51.0,1.6,2.10989010989011,1
HF_L4_004,2023-02-04,64,27,21,188,95,33.0,307.09090909090907,44.0,1.8823529411764703,1.9789473684210528,1
HF_L4_004,2023-02-05,37,50,16,219,94,37.0,315.02702702702703,64.0,0.9736842105263158,2.3297872340425534,1
HF_L4_004,2023-02-06,71,35,21,281,112,40.0,282.65,54.0,1.7317073170731707,2.508928571428572,1
HF_L4_004,2023-02-07,47,32,25,288,118,22.0,287.72727272727275,31.0,2.0434782608695654,2.440677966101695,1
HF_L4_004,2023-02-08,70,52,19,187,117,32.0,297.09375,45.0,2.121212121212121,1.5982905982905984,1
HF_L4_004,2023-02-09,60,27,20,235,127,34.0,281.05882352941177,54.0,1.7142857142857142,1.8503937007874016,1
HF_L4_004,2023-02-10,78,36,19,249,111,31.0,298.258064516129,46.0,2.4375,2.2432432432432434,1
HF_L4_004,2023-02-11,77,38,25,196,125,43.0,289.4186046511628,71.0,1.75,1.568,1
HF_L4_004,2023-02-12,74,37,24,201,75,33.0,308.3030303030303,55.0,2.176470588235294,2.68,1
HF_L4_004,2023-02-13,61,34,29,236,98,37.0,296.6756756756757,55.0,1.605263157894737,2.4081632653061225,1
HF_L4_004,2023-02-14,73,27,19,242,90,28.0,265.42857142857144,43.0,2.5172413793103448,2.688888888888889,1
HF_L4_004,2023-02-15,73,28,22,273,104,33.0,285.72727272727275,53.0,2.147058823529412,2.625,1
HF_L4_004,2023-02-16,69,27,26,252,122,30.0,283.3333333333333,48.0,2.225806451612903,2.065573770491804,1
HF_L4_004,2023-02-17,74,47,13,192,97,36.0,289.77777777777777,57.0,2.0,1.9793814432989687,1
HF_L4_004,2023-02-18,61,29,24,177,98,37.0,319.0810810810811,49.0,1.605263157894737,1.806122448979592,1
HF_L4_004,2023-02-19,86,32,26,188,112,32.0,336.75,49.0,2.606060606060606,1.6785714285714286,1
HF_L4_004,2023-02-20,52,41,27,206,77,36.0,315.1388888888889,42.0,1.4054054054054057,2.675324675324675,1
HF_L4_004,2023-02-21,58,32,19,178,74,29.0,318.82758620689657,41.0,1.933333333333333,2.4054054054054053,1
HF_L4_004,2023-02-22,57,29,28,190,66,26.0,290.88461538461536,53.0,2.111111111111111,2.878787878787879,1
HF_L4_004,2023-02-23,65,47,23,300,80,30.0,289.93333333333334,35.0,2.096774193548387,3.75,1
HF_L4_004,2023-02-24,74,50,22,147,88,37.0,311.0,51.0,1.947368421052632,1.6704545454545454,1
HF_L4_004,2023-02-25,55,42,21,217,119,27.0,282.25925925925924,36.0,1.9642857142857144,1.8235294117647056,1
HF_L4_004,2023-02-26,81,38,11,162,80,35.0,297.9142857142857,59.0,2.25,2.025,1
HF_L4_004,2023-02-27,62,39,23,131,87,32.0,293.75,41.0,1.878787878787879,1.5057471264367817,1
HF_L4_004,2023-02-28,58,47,16,195,90,28.0,270.5,40.0,2.0,2.1666666666666665,1
HF_L4_004,2023-03-01,80,44,22,204,122,31.0,306.4193548387097,49.0,2.5,1.6721311475409837,1
HF_L4_004,2023-03-02,63,41,22,274,79,29.0,291.7586206896552,41.0,2.1,3.4683544303797467,1
HF_L4_004,2023-03-03,68,45,21,209,90,44.0,280.6818181818182,71.0,1.511111111111111,2.3222222222222224,1
HF_L4_004,2023-03-04,58,56,22,132,107,37.0,331.64864864864865,56.0,1.5263157894736843,1.233644859813084,1
HF_L4_004,2023-03-05,65,52,24,133,98,49.0,307.57142857142856,71.0,1.3,1.3571428571428572,1
HF_L4_004,2023-03-06,78,32,19,123,98,32.0,291.53125,36.0,2.363636363636364,1.2551020408163265,1
HF_L4_004,2023-03-07,57,51,26,171,104,43.0,322.3255813953488,60.0,1.2954545454545454,1.6442307692307692,1
HF_L4_004,2023-03-08,43,39,18,220,107,38.0,310.9736842105263,46.0,1.1025641025641026,2.05607476635514,1
HF_L4_004,2023-03-09,64,32,18,151,99,30.0,310.4,45.0,2.064516129032258,1.5252525252525253,1
HF_L4_004,2023-03-10,71,37,17,237,87,19.0,270.2105263157895,20.0,3.55,2.7241379310344827,1
HF_L4_004,2023-03-11,51,24,22,234,117,24.0,297.4583333333333,37.0,2.04,2.0,1
HF_L4_004,2023-03-12,67,43,21,167,91,25.0,323.12,37.0,2.576923076923077,1.835164835164835,1
HF_L4_004,2023-03-13,68,40,25,221,77,35.0,289.8285714285714,50.0,1.8888888888888888,2.8701298701298703,1
HF_L4_004,2023-03-14,69,30,22,155,117,31.0,315.2903225806452,42.0,2.15625,1.3247863247863247,1
HF_L4_004,2023-03-15,50,45,20,208,109,36.0,293.47222222222223,65.0,1.351351351351351,1.908256880733945,1
HF_L4_004,2023-03-16,72,34,21,264,128,34.0,281.97058823529414,57.0,2.057142857142857,2.0625,1
HF_L4_004,2023-03-17,64,36,22,228,109,34.0,273.52941176470586,51.0,1.8285714285714283,2.091743119266055,1
HF_L4_004,2023-03-18,68,45,21,222,104,29.0,298.41379310344826,42.0,2.2666666666666666,2.1346153846153846,1
HF_L4_004,2023-03-19,57,35,24,134,100,36.0,280.72222222222223,58.0,1.5405405405405406,1.34,1
HF_L4_004,2023-03-20,58,38,23,202,97,41.0,322.5609756097561,89.0,1.380952380952381,2.082474226804124,1
HF_L4_004,2023-03-21,77,48,31,235,74,44.0,315.5681818181818,63.0,1.711111111111111,3.175675675675676,1
HF_L4_004,2023-03-22,48,26,26,218,115,32.0,311.875,49.0,1.4545454545454546,1.895652173913044,1
HF_L4_004,2023-03-23,62,51,15,153,127,30.0,244.76666666666668,34.0,2.0,1.204724409448819,1
HF_L4_004,2023-03-24,67,29,21,202,107,41.0,295.3414634146341,62.0,1.5952380952380951,1.88785046728972,1
HF_L4_004,2023-03-25,80,37,22,132,124,29.0,319.3448275862069,39.0,2.6666666666666665,1.064516129032258,1
HF_L4_004,2023-03-26,55,37,22,173,124,26.0,280.53846153846155,31.0,2.037037037037037,1.3951612903225807,1
HF_L4_004,2023-03-27,55,41,14,134,132,30.0,256.6,48.0,1.7741935483870968,1.0151515151515151,1
HF_L4_004,2023-03-28,77,34,22,253,106,40.0,279.6,75.0,1.8780487804878048,2.3867924528301887,1
HF_L4_004,2023-03-29,63,43,20,238,106,29.0,334.0344827586207,51.0,2.1,2.2452830188679247,1
HF_L4_004,2023-03-30,74,43,27,280,109,36.0,277.80555555555554,53.0,2.0,2.568807339449541,1
