facility_id,day,total_staff,nurses_on_duty,doctors_on_duty,beds_occupied,beds_available,patient_visits,avg_congestion,weighted_demand,staff_to_patient_ratio,beds_occupancy_ratio
HF_L4_004,1/1/2023,55,37,17,239,113,41,304.6585366,57,1.30952381,2.115044248
HF_L4_004,1/2/2023,50,32,20,284,58,28,313.9285714,46,1.724137931,4.896551724
HF_L4_004,1/3/2023,68,25,22,210,121,30,254.4,46,2.193548387,1.73553719
HF_L4_004,1/4/2023,46,54,23,204,118,36,284.4722222,64,1.243243243,1.728813559
HF_L4_004,1/5/2023,90,44,29,205,93,37,300.9189189,46,2.368421053,2.204301075
HF_L4_004,1/6/2023,64,39,27,161,111,31,305.7741935,49,2,1.45045045
HF_L4_004,1/7/2023,56,45,19,172,100,38,277.9473684,68,1.435897436,1.72
HF_L4_004,1/8/2023,47,30,26,150,118,29,296.2758621,45,1.566666667,1.271186441
HF_L4_004,1/9/2023,63,48,21,234,92,27,302.4444444,28,2.25,2.543478261
HF_L4_004,1/10/2023,74,36,26,191,113,31,302.516129,46,2.3125,1.690265487
HF_L4_004,1/11/2023,60,38,23,168,86,35,282.8857143,45,1.666666667,1.953488372
HF_L4_004,1/12/2023,64,33,19,217,97,20,268.05,34,3.047619048,2.237113402
HF_L4_004,1/13/2023,49,40,23,227,80,37,304.7027027,63,1.289473684,2.8375
HF_L4_004,1/14/2023,82,27,24,241,89,33,308.8484848,56,2.411764706,2.707865169
HF_L4_004,1/15/2023,53,43,31,142,114,27,250.5185185,46,1.892857143,1.245614035
HF_L4_004,1/16/2023,80,39,22,167,75,45,306.3555556,65,1.739130435,2.226666667
HF_L4_004,1/17/2023,54,52,17,190,114,29,310.5862069,46,1.8,1.666666667
HF_L4_004,1/18/2023,63,36,18,196,78,25,275.72,46,2.423076923,2.512820513
HF_L4_004,1/19/2023,68,57,25,158,56,37,301.8108108,60,1.789473684,2.821428571
HF_L4_004,1/20/2023,77,36,20,143,80,33,299.4848485,54,2.264705882,1.7875
HF_L4_004,1/21/2023,72,34,26,239,82,36,266.1944444,58,1.945945946,2.914634146
HF_L4_004,1/22/2023,84,51,23,136,97,39,280.9230769,62,2.1,1.402061856
HF_L4_004,1/23/2023,52,48,24,217,121,41,288.1219512,64,1.238095238,1.79338843
HF_L4_004,1/24/2023,67,37,28,284,83,30,329.2333333,43,2.161290323,3.421686747
HF_L4_004,1/25/2023,57,40,23,143,94,38,329.9210526,62,1.461538462,1.521276596
HF_L4_004,1/26/2023,58,41,24,236,127,26,277,43,2.148148148,1.858267717
HF_L4_004,1/27/2023,69,43,30,241,97,32,262.375,39,2.090909091,2.484536082
HF_L4_004,1/28/2023,57,38,25,274,98,32,292.84375,57,1.727272727,2.795918367
HF_L4_004,1/29/2023,48,35,21,210,97,22,341.9090909,35,2.086956522,2.164948454
HF_L4_004,1/30/2023,66,42,13,216,76,22,281.5,33,2.869565217,2.842105263
HF_L4_004,1/31/2023,73,49,28,234,99,23,350.8695652,40,3.041666667,2.363636364
HF_L4_004,2/1/2023,53,45,26,266,82,30,243.6,54,1.709677419,3.243902439
HF_L4_004,2/2/2023,64,50,17,262,69,44,273.3181818,60,1.422222222,3.797101449
HF_L4_004,2/3/2023,56,48,32,192,91,34,265.2941176,51,1.6,2.10989011
HF_L4_004,2/4/2023,64,27,21,188,95,33,307.0909091,44,1.882352941,1.978947368
HF_L4_004,2/5/2023,37,50,16,219,94,37,315.027027,64,0.973684211,2.329787234
HF_L4_004,2/6/2023,71,35,21,281,112,40,282.65,54,1.731707317,2.508928571
HF_L4_004,2/7/2023,47,32,25,288,118,22,287.7272727,31,2.043478261,2.440677966
HF_L4_004,2/8/2023,70,52,19,187,117,32,297.09375,45,2.121212121,1.598290598
HF_L4_004,2/9/2023,60,27,20,235,127,34,281.0588235,54,1.714285714,1.850393701
HF_L4_004,2/10/2023,78,36,19,249,111,31,298.2580645,46,2.4375,2.243243243
HF_L4_004,2/11/2023,77,38,25,196,125,43,289.4186047,71,1.75,1.568
HF_L4_004,2/12/2023,74,37,24,201,75,33,308.3030303,55,2.176470588,2.68
HF_L4_004,2/13/2023,61,34,29,236,98,37,296.6756757,55,1.605263158,2.408163265
HF_L4_004,2/14/2023,73,27,19,242,90,28,265.4285714,43,2.517241379,2.688888889
HF_L4_004,2/15/2023,73,28,22,273,104,33,285.7272727,53,2.147058824,2.625
HF_L4_004,2/16/2023,69,27,26,252,122,30,283.3333333,48,2.225806452,2.06557377
HF_L4_004,2/17/2023,74,47,13,192,97,36,289.7777778,57,2,1.979381443
HF_L4_004,2/18/2023,61,29,24,177,98,37,319.0810811,49,1.605263158,1.806122449
HF_L4_004,2/19/2023,86,32,26,188,112,32,336.75,49,2.606060606,1.678571429
HF_L4_004,2/20/2023,52,41,27,206,77,36,315.1388889,42,1.405405405,2.675324675
HF_L4_004,2/21/2023,58,32,19,178,74,29,318.8275862,41,1.933333333,2.405405405
HF_L4_004,2/22/2023,57,29,28,190,66,26,290.8846154,53,2.111111111,2.878787879
HF_L4_004,2/23/2023,65,47,23,300,80,30,289.9333333,35,2.096774194,3.75
HF_L4_004,2/24/2023,74,50,22,147,88,37,311,51,1.947368421,1.670454545
HF_L4_004,2/25/2023,55,42,21,217,119,27,282.2592593,36,1.964285714,1.823529412
HF_L4_004,2/26/2023,81,38,11,162,80,35,297.9142857,59,2.25,2.025
HF_L4_004,2/27/2023,62,39,23,131,87,32,293.75,41,1.878787879,1.505747126
HF_L4_004,2/28/2023,58,47,16,195,90,28,270.5,40,2,2.166666667
HF_L4_004,3/1/2023,80,44,22,204,122,31,306.4193548,49,2.5,1.672131148
HF_L4_004,3/2/2023,63,41,22,274,79,29,291.7586207,41,2.1,3.46835443
HF_L4_004,3/3/2023,68,45,21,209,90,44,280.6818182,71,1.511111111,2.322222222
HF_L4_004,3/4/2023,58,56,22,132,107,37,331.6486486,56,1.526315789,1.23364486
HF_L4_004,3/5/2023,65,52,24,133,98,49,307.5714286,71,1.3,1.357142857
HF_L4_004,3/6/2023,78,32,19,123,98,32,291.53125,36,2.363636364,1.255102041
HF_L4_004,3/7/2023,57,51,26,171,104,43,322.3255814,60,1.295454545,1.644230769
HF_L4_004,3/8/2023,43,39,18,220,107,38,310.9736842,46,1.102564103,2.056074766
HF_L4_004,3/9/2023,64,32,18,151,99,30,310.4,45,2.064516129,1.525252525
HF_L4_004,3/10/2023,71,37,17,237,87,19,270.2105263,20,3.55,2.724137931
HF_L4_004,3/11/2023,51,24,22,234,117,24,297.4583333,37,2.04,2
HF_L4_004,3/12/2023,67,43,21,167,91,25,323.12,37,2.576923077,1.835164835
HF_L4_004,3/13/2023,68,40,25,221,77,35,289.8285714,50,1.888888889,2.87012987
HF_L4_004,3/14/2023,69,30,22,155,117,31,315.2903226,42,2.15625,1.324786325
HF_L4_004,3/15/2023,50,45,20,208,109,36,293.4722222,65,1.351351351,1.908256881
HF_L4_004,3/16/2023,72,34,21,264,128,34,281.9705882,57,2.057142857,2.0625
HF_L4_004,3/17/2023,64,36,22,228,109,34,273.5294118,51,1.828571429,2.091743119
HF_L4_004,3/18/2023,68,45,21,222,104,29,298.4137931,42,2.266666667,2.134615385
HF_L4_004,3/19/2023,57,35,24,134,100,36,280.7222222,58,1.540540541,1.34
HF_L4_004,3/20/2023,58,38,23,202,97,41,322.5609756,89,1.380952381,2.082474227
HF_L4_004,3/21/2023,77,48,31,235,74,44,315.5681818,63,1.711111111,3.175675676
HF_L4_004,3/22/2023,48,26,26,218,115,32,311.875,49,1.454545455,1.895652174
HF_L4_004,3/23/2023,62,51,15,153,127,30,244.7666667,34,2,1.204724409
HF_L4_004,3/24/2023,67,29,21,202,107,41,295.3414634,62,1.595238095,1.887850467
HF_L4_004,3/25/2023,80,37,22,132,124,29,319.3448276,39,2.666666667,1.064516129
HF_L4_004,3/26/2023,55,37,22,173,124,26,280.5384615,31,2.037037037,1.39516129
HF_L4_004,3/27/2023,55,41,14,134,132,30,256.6,48,1.774193548,1.015151515
HF_L4_004,3/28/2023,77,34,22,253,106,40,279.6,75,1.87804878,2.386792453
HF_L4_004,3/29/2023,63,43,20,238,106,29,334.0344828,51,2.1,2.245283019
HF_L4_004,3/30/2023,74,43,27,280,109,36,277.8055556,53,2,2.568807339
HF_L4_004,3/31/2023,63,45,20,198,131,33,301.1515152,47,1.852941176,1.511450382
HF_L4_004,4/1/2023,63,29,20,206,80,33,280.4545455,50,1.852941176,2.575
HF_L4_004,4/2/2023,58,45,23,195,99,32,288.6875,53,1.757575758,1.96969697
HF_L4_004,4/3/2023,78,44,22,204,124,36,328.6666667,51,2.108108108,1.64516129
HF_L4_004,4/4/2023,62,55,23,168,134,38,303.2631579,56,1.58974359,1.253731343
HF_L4_004,4/5/2023,54,21,21,238,114,43,281.4883721,77,1.227272727,2.087719298
HF_L4_004,4/6/2023,61,44,17,138,123,30,319.9,44,1.967741935,1.12195122
HF_L4_004,4/7/2023,74,37,21,260,106,30,270,50,2.387096774,2.452830189
HF_L4_004,4/8/2023,80,35,17,170,95,19,318.1052632,27,4,1.789473684
HF_L4_004,4/9/2023,64,47,13,212,120,31,284.6129032,41,2,1.766666667
HF_L4_004,4/10/2023,49,44,24,181,115,38,313.8157895,59,1.256410256,1.573913043
HF_L4_004,4/11/2023,46,43,24,183,88,33,273.1212121,48,1.352941176,2.079545455
HF_L4_004,4/12/2023,58,37,28,167,118,32,305,44,1.757575758,1.415254237
HF_L4_004,4/13/2023,67,37,21,199,107,28,272.6071429,38,2.310344828,1.859813084
HF_L4_004,4/14/2023,65,37,19,264,110,40,322.15,52,1.585365854,2.4
HF_L4_004,4/15/2023,88,45,20,224,114,29,318.8275862,42,2.933333333,1.964912281
HF_L4_004,4/16/2023,70,31,18,191,87,28,347.7857143,41,2.413793103,2.195402299
HF_L4_004,4/17/2023,58,33,25,186,94,28,277.3214286,47,2,1.978723404
